lvl_type	name	taxonomy
s	Clostridium saccharoperbutylacetonicum	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium saccharoperbutylacetonicum
s1	Clostridium saccharoperbutylacetonicum N1-4	na;na;na;na;na;na;na
s2	Clostridium saccharoperbutylacetonicum N1-4(HMT)	na;na;na;na;na;na;na
s	Clostridium argentinense	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium argentinense
s	Clostridium cadaveris	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium cadaveris
s	Clostridium beijerinckii	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium beijerinckii
s1	Clostridium beijerinckii NRRL B-598	na;na;na;na;na;na;na
s	Clostridium manihotivorum	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium manihotivorum
s	Clostridium tetani	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium tetani
s1	Clostridium tetani 12124569	na;na;na;na;na;na;na
s	Clostridium pasteurianum	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium pasteurianum
s1	Clostridium pasteurianum BC1	na;na;na;na;na;na;na
s	Clostridium novyi	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium novyi
s1	Clostridium novyi NT	na;na;na;na;na;na;na
s	Clostridium kluyveri	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium kluyveri
s	Clostridium sporogenes	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium sporogenes
s	Clostridium carboxidivorans	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium carboxidivorans
s1	Clostridium carboxidivorans P7	na;na;na;na;na;na;na
s	Clostridium thermarum	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium thermarum
s	Clostridium fermenticellae	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium fermenticellae
s	Clostridium aceticum	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium aceticum
s	Clostridium cellulovorans	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium cellulovorans
s1	Clostridium cellulovorans 743B	na;na;na;na;na;na;na
s	Clostridium acetobutylicum	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium acetobutylicum
s	Clostridium drakei	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium drakei
s	Clostridium cochlearium	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium cochlearium
s	Clostridium estertheticum	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium estertheticum
s1	Clostridium estertheticum subsp. estertheticum	na;na;na;na;na;na;na
s	Clostridium tyrobutyricum	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium tyrobutyricum
s	Clostridium formicaceticum	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium formicaceticum
s	Clostridium scatologenes	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium scatologenes
s	Clostridium diolis	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium diolis
g	Hungatella	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Hungatella
s	Hungatella hathewayi	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Hungatella;s__Hungatella hathewayi
s1	Hungatella hathewayi WAL-18680	na;na;na;na;na;na;na
g	Paraclostridium	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Paraclostridium
s	Paraclostridium bifermentans	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Paraclostridium;s__Paraclostridium bifermentans
g	Crassaminicella	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Crassaminicella
g1	unclassified Crassaminicella	na;na;na;na;na;na;na
s	Crassaminicella sp. 143-21	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Crassaminicella;s__Crassaminicella sp. 143-21
s	Crassaminicella thermophila	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Crassaminicella;s__Crassaminicella thermophila
s	Crassaminicella profunda	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Crassaminicella;s__Crassaminicella profunda
g	Sarcina	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Sarcina
g1	unclassified Sarcina	na;na;na;na;na;na;na
s	Sarcina sp. JB2	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Sarcina;s__Sarcina sp. JB2
g	Hathewaya	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Hathewaya
s	Hathewaya histolytica	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Hathewaya;s__Hathewaya histolytica
g	Geosporobacter	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Geosporobacter
s	Geosporobacter ferrireducens	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Geosporobacter;s__Geosporobacter ferrireducens
g	Alkaliphilus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Alkaliphilus
g1	unclassified Alkaliphilus	na;na;na;na;na;na;na
s	Alkaliphilus sp. B6464	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Alkaliphilus;s__Alkaliphilus sp. B6464
s	Alkaliphilus oremlandii	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Alkaliphilus;s__Alkaliphilus oremlandii
s1	Alkaliphilus oremlandii OhILAs	na;na;na;na;na;na;na
s	Alkaliphilus metalliredigens	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Alkaliphilus;s__Alkaliphilus metalliredigens
s1	Alkaliphilus metalliredigens QYMF	na;na;na;na;na;na;na
g	Serpentinicella	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Serpentinicella
s	Serpentinicella alkaliphila	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Serpentinicella;s__Serpentinicella alkaliphila
g	Caloramator	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Caloramator
g1	unclassified Caloramator	na;na;na;na;na;na;na
s	Caloramator sp. E03	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Caloramator;s__Caloramator sp. E03
g	Candidatus Arthromitus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Candidatus Arthromitus
g1	unclassified Candidatus Arthromitus	na;na;na;na;na;na;na
s	Candidatus Arthromitus sp. SFB-mouse-NL	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Candidatus Arthromitus;s__Candidatus Arthromitus sp. SFB-mouse-NL
g	Butyricicoccus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Butyricicoccus
g1	unclassified Butyricicoccus	na;na;na;na;na;na;na
s	Butyricicoccus sp. GAM44	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Butyricicoccus;s__Butyricicoccus sp. GAM44
f	Peptostreptococcaceae	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae
g	Romboutsia	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Romboutsia
s	Romboutsia ilealis	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia ilealis
g1	unclassified Romboutsia	na;na;na;na;na;na;na
s	Romboutsia sp. CE17	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia sp. CE17
s	Romboutsia hominis	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia hominis
g	Clostridioides	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Clostridioides
s	Clostridioides difficile	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides difficile
s1	Clostridioides difficile QCD-23m63	na;na;na;na;na;na;na
s1	Clostridioides difficile BI9	na;na;na;na;na;na;na
g1	unclassified Clostridioides	na;na;na;na;na;na;na
s	Clostridioides sp. ES-S-0054-01	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides sp. ES-S-0054-01
s	Clostridioides sp. ES-S-0010-02	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides sp. ES-S-0010-02
s	Clostridioides sp. ES-S-0107-01	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides sp. ES-S-0107-01
g	Terrisporobacter	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Terrisporobacter
g1	unclassified Terrisporobacter	na;na;na;na;na;na;na
s	Terrisporobacter sp. MCA3	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Terrisporobacter;s__Terrisporobacter sp. MCA3
g	Paeniclostridium	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Paeniclostridium
s	Paeniclostridium sordellii	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Paeniclostridium;s__Paeniclostridium sordellii
g	Peptacetobacter	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Peptacetobacter
s	Peptacetobacter hiranonis	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Peptacetobacter;s__Peptacetobacter hiranonis
g	Filifactor	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Filifactor
s	Filifactor alocis	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Filifactor;s__Filifactor alocis
s1	Filifactor alocis ATCC 35896	na;na;na;na;na;na;na
g	Tepidibacter	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Tepidibacter
g1	unclassified Tepidibacter	na;na;na;na;na;na;na
s	Tepidibacter sp. 8C15b	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Tepidibacter;s__Tepidibacter sp. 8C15b
g	Peptoclostridium	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Peptoclostridium
s	Peptoclostridium acidaminophilum	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Peptoclostridium;s__Peptoclostridium acidaminophilum
s1	Peptoclostridium acidaminophilum DSM 3953	na;na;na;na;na;na;na
g	Acetoanaerobium	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Acetoanaerobium
s	Acetoanaerobium sticklandii	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Acetoanaerobium;s__Acetoanaerobium sticklandii
f	Eubacteriaceae	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae
g	Eubacterium	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium
g1	unclassified Eubacterium	na;na;na;na;na;na;na
s	Eubacterium sp. c-25	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium sp. c-25
s	Eubacterium sp. NSJ-61	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium sp. NSJ-61
s	Eubacterium sp. MSJ-33	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium sp. MSJ-33
s	Eubacterium limosum	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium limosum
s	Eubacterium callanderi	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium callanderi
s	Eubacterium maltosivorans	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium maltosivorans
g	Acetobacterium	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Acetobacterium
s	Acetobacterium woodii	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Acetobacterium;s__Acetobacterium woodii
s1	Acetobacterium woodii DSM 1030	na;na;na;na;na;na;na
g1	unclassified Acetobacterium	na;na;na;na;na;na;na
s	Acetobacterium sp. KB-1	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Acetobacterium;s__Acetobacterium sp. KB-1
g	Alkalibacter	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Alkalibacter
g1	unclassified Alkalibacter	na;na;na;na;na;na;na
s	Alkalibacter sp. ES005	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Alkalibacter;s__Alkalibacter sp. ES005
o1	Eubacteriales incertae sedis	na;na;na;na;na;na;na
g	Intestinimonas	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Intestinimonas
s	Intestinimonas butyriciproducens	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Intestinimonas;s__Intestinimonas butyriciproducens
f	Eubacteriales Family XIII. Incertae Sedis	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales Family XIII. Incertae Sedis
g	Aminipila	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales Family XIII. Incertae Sedis;g__Aminipila
s	Aminipila luticellarii	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales Family XIII. Incertae Sedis;g__Aminipila;s__Aminipila luticellarii
s	Aminipila terrae	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales Family XIII. Incertae Sedis;g__Aminipila;s__Aminipila terrae
s	Aminipila butyrica	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales Family XIII. Incertae Sedis;g__Aminipila;s__Aminipila butyrica
g	Mogibacterium	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales Family XIII. Incertae Sedis;g__Mogibacterium
s	Mogibacterium diversum	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales Family XIII. Incertae Sedis;g__Mogibacterium;s__Mogibacterium diversum
s	Mogibacterium pumilum	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales Family XIII. Incertae Sedis;g__Mogibacterium;s__Mogibacterium pumilum
g	Emergencia	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales Family XIII. Incertae Sedis;g__Emergencia
s	Emergencia timonensis	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales Family XIII. Incertae Sedis;g__Emergencia;s__Emergencia timonensis
g	Massilistercora	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales Family XIII. Incertae Sedis;g__Massilistercora
s	Massilistercora timonensis	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales Family XIII. Incertae Sedis;g__Massilistercora;s__Massilistercora timonensis
g	Flintibacter	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales Family XIII. Incertae Sedis;g__Flintibacter
g1	unclassified Flintibacter	na;na;na;na;na;na;na
s	Flintibacter sp. KGMB00164	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales Family XIII. Incertae Sedis;g__Flintibacter;s__Flintibacter sp. KGMB00164
f	Clostridiales Family XVII. Incertae Sedis	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiales Family XVII. Incertae Sedis
g	Thermaerobacter	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiales Family XVII. Incertae Sedis;g__Thermaerobacter
g1	unclassified Thermaerobacter	na;na;na;na;na;na;na
s	Thermaerobacter sp. FW80	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiales Family XVII. Incertae Sedis;g__Thermaerobacter;s__Thermaerobacter sp. FW80
s	Thermaerobacter sp. PB12/4term	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiales Family XVII. Incertae Sedis;g__Thermaerobacter;s__Thermaerobacter sp. PB12/4term
s	Thermaerobacter marianensis	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiales Family XVII. Incertae Sedis;g__Thermaerobacter;s__Thermaerobacter marianensis
s1	Thermaerobacter marianensis DSM 12885	na;na;na;na;na;na;na
f	Clostridiales Family XVI. Incertae Sedis	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiales Family XVI. Incertae Sedis
g	Carboxydocella	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiales Family XVI. Incertae Sedis;g__Carboxydocella
s	Carboxydocella thermautotrophica	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiales Family XVI. Incertae Sedis;g__Carboxydocella;s__Carboxydocella thermautotrophica
f	Christensenellaceae	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Christensenellaceae
g	Christensenella	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Christensenellaceae;g__Christensenella
s	Christensenella minuta	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Christensenellaceae;g__Christensenella;s__Christensenella minuta
g1	unclassified Christensenella	na;na;na;na;na;na;na
s	Christensenella sp. Marseille-P3954	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Christensenellaceae;g__Christensenella;s__Christensenella sp. Marseille-P3954
f	Desulfitobacteriaceae	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Desulfitobacteriaceae
g	Desulfosporosinus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus
s	Desulfosporosinus youngiae	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__Desulfosporosinus youngiae
s1	Desulfosporosinus youngiae DSM 17734	na;na;na;na;na;na;na
s	Desulfosporosinus orientis	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__Desulfosporosinus orientis
s1	Desulfosporosinus orientis DSM 765	na;na;na;na;na;na;na
s	Desulfosporosinus acidiphilus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__Desulfosporosinus acidiphilus
s1	Desulfosporosinus acidiphilus SJ4	na;na;na;na;na;na;na
s	Desulfosporosinus meridiei	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__Desulfosporosinus meridiei
s1	Desulfosporosinus meridiei DSM 13257	na;na;na;na;na;na;na
g	Desulfitobacterium	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Desulfitobacteriaceae;g__Desulfitobacterium
s	Desulfitobacterium hafniense	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Desulfitobacteriaceae;g__Desulfitobacterium;s__Desulfitobacterium hafniense
s1	Desulfitobacterium hafniense DCB-2	na;na;na;na;na;na;na
s1	Desulfitobacterium hafniense Y51	na;na;na;na;na;na;na
s	Desulfitobacterium metallireducens	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Desulfitobacteriaceae;g__Desulfitobacterium;s__Desulfitobacterium metallireducens
s1	Desulfitobacterium metallireducens DSM 15288	na;na;na;na;na;na;na
s	Desulfitobacterium dehalogenans	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Desulfitobacteriaceae;g__Desulfitobacterium;s__Desulfitobacterium dehalogenans
s1	Desulfitobacterium dehalogenans ATCC 51507	na;na;na;na;na;na;na
g	Dehalobacter	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Desulfitobacteriaceae;g__Dehalobacter
g1	unclassified Dehalobacter	na;na;na;na;na;na;na
s	Dehalobacter restrictus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Desulfitobacteriaceae;g__Dehalobacter;s__Dehalobacter restrictus
g	Syntrophobotulus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Desulfitobacteriaceae;g__Syntrophobotulus
s	Syntrophobotulus glycolicus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Desulfitobacteriaceae;g__Syntrophobotulus;s__Syntrophobotulus glycolicus
s1	Syntrophobotulus glycolicus DSM 8271	na;na;na;na;na;na;na
f	Vallitaleaceae	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Vallitaleaceae
g	Vallitalea	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Vallitaleaceae;g__Vallitalea
s	Vallitalea guaymasensis	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Vallitaleaceae;g__Vallitalea;s__Vallitalea guaymasensis
s	Vallitalea pronyensis	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Vallitaleaceae;g__Vallitalea;s__Vallitalea pronyensis
g	Petrocella	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Vallitaleaceae;g__Petrocella
s	Petrocella atlantisensis	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Vallitaleaceae;g__Petrocella;s__Petrocella atlantisensis
f	Peptococcaceae	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptococcaceae
g	Dehalobacterium	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptococcaceae;g__Dehalobacterium
s	Dehalobacterium formicoaceticum	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptococcaceae;g__Dehalobacterium;s__Dehalobacterium formicoaceticum
